"Suburb"	"Address"	Bedroom	"Type"	Price	"Link"
"GEORGES HALL"	"9 Glenbrook Cr"	4	"House"	961.5	"https://www.domain.com.au/9-glenbrook-crescent-georges-hall-nsw-2198-2013847330"
"GEORGES HALL"	"6 Lentara Ct"	3	"House"	880.0	"https://www.domain.com.au/6-lentara-ct-georges-hall-nsw-2198-2013850522"
"GIRRAWEEN"	"173 Girraween Rd"	3	"House"	1022.0	"https://www.domain.com.au/173-girraween-road-girraween-nsw-2145-2013847486"
"GLADESVILLE"	"2B Gerrish St"	3	"House"	1400.0	"https://www.domain.com.au/2b-gerrish-street-gladesville-nsw-2111-2013841974"
"GLEBE"	"41 Darghan St"	4	"House"	Passed In	"https://www.domain.com.au/41-darghan-street-glebe-nsw-2037-2013852761"
"GLENHAVEN"	"100 Gilbert Rd"	4	"House"	Withdrawn	"https://www.domain.com.au/100-gilbert-road-glenhaven-nsw-2156-2013838921"
"GORDON"	"21 Nelson St"	3	"House"	3075.0	"https://www.domain.com.au/21-nelson-street-gordon-nsw-2072-2013852574"
"GREENACRE"	"36 David St"	5	"House"	905.0	"https://www.domain.com.au/36-david-street-greenacre-nsw-2190-2013858154"
"GREENACRE"	"35 Northcote Rd"	6	"House"	1760.0	"https://www.domain.com.au/35-northcote-road-greenacre-nsw-2190-2013838043"
"GREYSTANES"	"78A Greystanes Rd"	5	"House"	1322.0	"https://www.domain.com.au/78a-greystanes-road-greystanes-nsw-2145-2013831621"
"GUILDFORD"	"47 Robertson St"	5	"House"	1235.0	"https://www.domain.com.au/47-robertson-street-guildford-nsw-2161-2013848947"
"GUILDFORD"	"27 Woodstock St"	4	"House"	810.0	"https://www.domain.com.au/27-woodstock-street-guildford-nsw-2161-2013851071"
"GUILDFORD WEST"	"16 Karani Av"	3	"House"	810.0	"https://www.domain.com.au/16-karani-avenue-guildford-nsw-2161-2013848277"
"GWANDALAN"	"40 Winbin Cr"	3	"House"	Withdrawn	"https://www.domain.com.au/40-winbin-crescent-gwandalan-nsw-2259-2013846246"
"GYMEA BAY"	"1 Mypolonga Av"	3	"House"	1355.0	"https://www.domain.com.au/1-mypolonga-avenue-gymea-bay-nsw-2227-2013847583"
"HABERFIELD"	"161 Alt St"	4	"House"	Passed In	"https://www.domain.com.au/161-alt-street-haberfield-nsw-2045-2013846901"
"HABERFIELD"	"7 Cove St"	4	"House"	2300.0	"https://www.domain.com.au/7-cove-street-haberfield-nsw-2045-2013845218"
"HABERFIELD"	"44 Ramsay St"	4	"House"	1890.0	"https://www.domain.com.au/44-ramsay-street-haberfield-nsw-2045-2013823012"
"HEATHCOTE"	"21A Freeman Rd"	3	"Semi"	Passed In	"https://www.domain.com.au/21a-freeman-road-heathcote-nsw-2233-2013846075"
"HILLSDALE"	"8/35 Brittain Cr"	2	"Unit"	Price withheld	"https://www.domain.com.au/8-35-brittain-crescent-hillsdale-nsw-2036-2013845338"
"HILLSDALE"	"2/44 Rhodes St"	3	"Unit"	720.0	"https://www.domain.com.au/2-44-rhodes-street-hillsdale-nsw-2036-2013845313"
"HOMEBUSH WEST"	"23/42-50 Hampstead Rd"	2	"Unit"	754.5	"https://www.domain.com.au/23-42-50-hampstead-rd-homebush-west-nsw-2140-2013833415"
"HORNSBY"	"20/83-87 Albert St"	2	"House"	648.0	"https://www.domain.com.au/20-83-87-albert-street-hornsby-nsw-2077-2013856580"
"HORNSBY"	"31 Denison St"	3	"House"	1838.0	"https://www.domain.com.au/31-denison-street-hornsby-nsw-2077-2013853830"
"HUNTERS HILL"	"18 Milling St"	2	"House"	2365.0	"https://www.domain.com.au/18-milling-street-hunters-hill-nsw-2110-2013856508"
"HUNTERS HILL"	"16/71 Ryde Rd"	2	"Unit"	825.0	"https://www.domain.com.au/16-71-ryde-road-hunters-hill-nsw-2110-2013848518"
"HURLSTONE PARK"	"65 Dunstaffenage St"	3	"House"	1500.0	"https://www.domain.com.au/65-dunstaffenage-street-hurlstone-park-nsw-2193-2013831892"
"HURSTVILLE"	"68 The Avenue "	3	"House"	2115.0	"https://www.domain.com.au/68-the-avenue-hurstville-nsw-2220-2013841741"
"ILLAWONG"	"52-54 Bignell St"	3	"House"	1850.0	"https://www.domain.com.au/52-54-bignell-street-illawong-nsw-2234-2013856991"
"ILLAWONG"	"117A Fowler Rd"	5	"House"	2300.0	"https://www.domain.com.au/117a-fowler-road-illawong-nsw-2234-2013845508"
"KELLYVILLE"	"34 Greenwood Rd"	4	"House"	1000.0	"https://www.domain.com.au/34-greenwood-road-kellyville-nsw-2155-2013841398"
"KELLYVILLE RIDGE"	"12/5-7 Kilbenny St"	2	"Unit"	551.0	"https://www.domain.com.au/12-5-kilbenny-street-kellyville-ridge-nsw-2155-2013850205"
"KEMPS CREEK"	"110 Victor Av"	4	"House"	Withdrawn	"https://www.domain.com.au/110-victor-avenue-kemps-creek-nsw-2178-2013847563"
"KENSINGTON"	"204C/254 Anzac Pde"	2	"Unit"	1170.0	"https://www.domain.com.au/204c-254-anzac-parade-kensington-nsw-2033-2013846233"
"KENSINGTON"	"15/56-62 Anzac Pde"	2	"Unit"	770.0	"https://www.domain.com.au/15-56-62-anzac-parade-kensington-nsw-2033-2013845980"
"KINGS LANGLEY"	"1/14 Baron Cl"	4	"Semi"	868.0	"https://www.domain.com.au/14b-baron-close-kings-langley-nsw-2147-2013854128"
"KINGSFORD"	"12A/706 Anzac Pde"	1	"Unit"	470.0	"https://www.domain.com.au/12a-706-anzac-parade-kingsford-nsw-2032-2013843550"
"KINGSGROVE"	"34 Miller St"	3	"House"	Passed In	"https://www.domain.com.au/34-miller-street-kingsgrove-nsw-2208-2013843054"
"KINGSGROVE"	"99 Staples St"	4	"House"	1415.0	"https://www.domain.com.au/99-staples-street-kingsgrove-nsw-2208-2013843137"
"KINGSGROVE"	"50 Warejee St"	4	"House"	Passed In	"https://www.domain.com.au/50-warejee-street-kingsgrove-nsw-2208-2013846185"
"KIRRAWEE"	"9 Kirk Cr"	4	"House"	1340.0	"https://www.domain.com.au/9-kirk-crescent-kirrawee-nsw-2232-2013853245"
"KIRRAWEE"	"16/620 Princes Hwy"	2	"Unit"	661.0	"https://www.domain.com.au/16-620-princes-highway-kirrawee-nsw-2232-2013852316"
"KOGARAH"	"30/7-9 Cross St"	2	"Unit"	650.0	"https://www.domain.com.au/30-7-9-cross-street-kogarah-nsw-2217-2013850868"
"KOGARAH"	"457 West Botany St"	2	"House"	1205.0	"https://www.domain.com.au/457-west-botany-street-kogarah-nsw-2217-2013855842"
"KURRABA POINT"	"1/125 Kurraba Rd"	4	"Unit"	Price withheld	"https://www.domain.com.au/1-125-kurraba-road-neutral-bay-nsw-2089-2013803663"
"KURRABA POINT"	"12/137 Kurraba Rd"	2	"Unit"	1695.0	"https://www.domain.com.au/12-137-kurraba-road-neutral-bay-nsw-2089-2013857841"
"LAKEMBA"	"31 Ernest St"	3	"House"	940.0	"https://www.domain.com.au/31-ernest-street-lakemba-nsw-2195-2013847762"
"LAKEMBA"	"65 Quigg St S"	7	"House"	960.0	"https://www.domain.com.au/65-quigg-street-lakemba-nsw-2195-2013847320"
"LALOR PARK"	"84 Kennedy Pde"	3	"House"	Price withheld	"https://www.domain.com.au/84-kennedy-parade-lalor-park-nsw-2147-2013832854"
"LANE COVE"	"3/28 Austin St"	3	"Unit"	Passed In	"https://www.domain.com.au/3-28-austin-street-lane-cove-nsw-2066-2013851990"
"LANE COVE"	"16 Third Av"	4	"House"	Passed In	"https://www.domain.com.au/16-third-avenue-lane-cove-nsw-2066-2013849738"
"LANE COVE"	"606/8-13 Waterview Dr"	2	"Unit"	Price withheld	"https://www.domain.com.au/606-10-waterview-drive-lane-cove-nsw-2066-2013851977"
"LANE COVE NORTH"	"305/72-74 Gordon Cr"	2	"Unit"	Price withheld	"https://www.domain.com.au/305-72-74-gordon-crescent-lane-cove-nsw-2066-2013851844"
"LANE COVE NORTH"	"20 Hinkler Cr"	3	"House"	Price withheld	"https://www.domain.com.au/20-hinkler-crescent-lane-cove-nsw-2066-2013853117"
"LANE COVE NORTH"	"3 Melrose St"	4	"House"	Price withheld	"https://www.domain.com.au/3-melrose-street-lane-cove-nsw-2066-2013823802"
"LANE COVE NORTH"	"128/450 Pacific Hwy"	1	"Studio"	Price withheld	"https://www.domain.com.au/128-450-pacific-highway-lane-cove-nsw-2066-2013837218"
"LEICHHARDT"	"10/18-20 Emma St"	1	"Unit"	Passed In	"https://www.domain.com.au/10-18-20-emma-street-leichhardt-nsw-2040-2013854379"
"LEICHHARDT"	"36 Hill St"	2	"House"	1135.0	"https://www.domain.com.au/36-hill-street-leichhardt-nsw-2040-2013851007"
"LEICHHARDT"	"9 Skelton St"	4	"House"	1840.0	"https://www.domain.com.au/9-skelton-street-leichhardt-nsw-2040-2013845399"
"LEWISHAM"	"4/38-40 Gould Av"	2	"Unit"	Passed In	"https://www.domain.com.au/4-38-gould-ave-petersham-nsw-2049-2013846406"
